iter	Passed	Remaining
0	134	134306
1	137	68537
2	139	46494
3	142	35494
4	144	28830
5	146	24325
6	148	21125
7	150	18714
8	153	16862
9	155	15437
10	158	14213
11	160	13218
12	162	12336
13	164	11574
14	166	10912
15	167	10321
16	169	9808
17	171	9356
18	173	8959
19	175	8596
20	177	8263
21	179	7958
22	180	7679
23	182	7425
24	184	7197
25	186	6987
26	188	6800
27	190	6614
28	192	6437
29	194	6272
30	195	6120
31	197	5976
32	199	5845
33	201	5720
34	203	5605
35	205	5492
36	206	5383
37	208	5281
38	210	5183
39	212	5092
40	213	5004
41	215	4921
42	217	4844
43	219	4770
44	221	4700
45	223	4630
46	225	4564
47	227	4502
48	228	4443
49	230	4385
50	232	4328
51	234	4272
52	236	4219
53	237	4164
54	239	4114
55	241	4067
56	243	4022
57	244	3977
58	246	3936
59	248	3894
60	250	3854
61	252	3813
62	254	3778
63	255	3741
64	257	3706
65	259	3671
66	261	3639
67	263	3606
68	265	3576
69	267	3547
70	268	3517
71	270	3488
72	272	3459
73	274	3433
74	276	3408
75	278	3384
76	280	3358
77	281	3331
78	283	3305
79	285	3280
80	287	3256
81	288	3233
82	290	3212
83	292	3193
84	294	3171
85	296	3150
86	298	3128
87	299	3107
88	301	3089
89	303	3070
90	305	3054
91	307	3034
92	309	3015
93	310	2996
94	312	2979
95	314	2961
96	316	2943
97	317	2926
98	319	2911
99	322	2898
100	323	2882
101	325	2867
102	327	2851
103	329	2836
104	331	2821
105	332	2806
106	334	2795
107	336	2782
108	338	2770
109	340	2758
110	342	2746
111	344	2733
112	346	2722
113	350	2722
114	352	2710
115	354	2699
116	355	2684
117	357	2674
118	359	2662
119	361	2651
120	363	2638
121	365	2628
122	366	2616
123	368	2604
124	370	2593
125	372	2583
126	374	2572
127	376	2561
128	376	2544
129	378	2534
130	380	2526
131	383	2520
132	386	2517
133	388	2512
134	390	2503
135	392	2494
136	394	2487
137	396	2478
138	398	2469
139	400	2462
140	403	2455
141	405	2447
142	407	2440
143	409	2433
144	411	2426
145	413	2417
146	415	2412
147	418	2406
148	420	2401
149	423	2397
150	425	2391
151	427	2384
152	430	2380
153	432	2373
154	434	2367
155	436	2360
156	438	2352
157	439	2344
158	441	2336
159	443	2330
160	446	2324
161	448	2317
162	449	2309
163	452	2304
164	454	2298
165	456	2294
166	459	2289
167	461	2284
168	463	2278
169	465	2273
170	468	2270
171	470	2267
172	474	2267
173	476	2263
174	479	2260
175	481	2256
176	484	2254
177	487	2250
178	489	2245
179	492	2243
180	496	2244
181	498	2240
182	500	2236
183	503	2230
184	505	2225
185	507	2221
186	510	2217
187	512	2212
188	514	2206
189	516	2201
190	520	2203
191	523	2201
192	526	2199
193	528	2193
194	530	2188
195	532	2185
196	535	2181
197	537	2175
198	538	2166
199	540	2162
200	542	2156
201	544	2151
202	546	2144
203	548	2140
204	551	2138
205	553	2135
206	556	2133
207	558	2128
208	560	2121
209	562	2117
210	565	2112
211	566	2106
212	568	2101
213	571	2098
214	573	2092
215	575	2087
216	576	2081
217	578	2075
218	580	2069
219	582	2064
220	584	2059
221	586	2054
222	588	2049
223	590	2045
224	592	2040
225	594	2035
226	596	2029
227	598	2025
228	599	2020
229	602	2018
230	604	2013
231	606	2008
232	608	2002
233	610	1997
234	611	1992
235	614	1987
236	616	1983
237	618	1978
238	619	1973
239	621	1968
240	623	1963
241	625	1958
242	627	1953
243	629	1949
244	630	1944
245	632	1939
246	634	1934
247	636	1930
248	638	1925
249	640	1920
250	641	1915
251	643	1910
252	645	1906
253	647	1901
254	649	1896
255	650	1891
256	652	1886
257	654	1882
258	656	1877
259	658	1873
260	659	1868
261	661	1864
262	663	1859
263	665	1855
264	667	1850
265	668	1846
266	670	1841
267	672	1836
268	674	1831
269	676	1828
270	678	1824
271	679	1819
272	681	1814
273	683	1810
274	684	1805
275	686	1801
276	688	1797
277	690	1793
278	692	1789
279	694	1785
280	695	1780
281	697	1776
282	699	1772
283	701	1767
284	703	1763
285	704	1759
286	707	1757
287	709	1754
288	711	1750
289	713	1746
290	715	1742
291	717	1738
292	718	1734
293	720	1730
294	722	1726
295	724	1722
296	725	1718
297	727	1714
298	729	1710
299	731	1706
300	733	1702
301	735	1698
302	736	1695
303	738	1691
304	740	1688
305	743	1685
306	745	1682
307	747	1678
308	749	1675
309	750	1671
310	753	1668
311	755	1666
312	757	1662
313	759	1659
314	761	1656
315	763	1653
316	766	1651
317	801	1719
318	807	1723
319	812	1726
320	818	1730
321	824	1735
322	828	1737
323	835	1743
324	840	1745
325	845	1748
326	850	1750
327	855	1753
328	859	1753
329	862	1750
330	864	1746
331	866	1742
332	868	1739
333	870	1736
334	873	1733
335	875	1730
336	878	1727
337	896	1755
338	901	1757
339	903	1754
340	905	1750
341	907	1746
342	909	1742
343	912	1739
344	915	1737
345	917	1734
346	920	1731
347	922	1728
348	925	1726
349	928	1724
350	930	1721
351	933	1717
352	935	1714
353	937	1710
354	938	1705
355	940	1701
356	942	1697
357	944	1693
358	946	1689
359	948	1685
360	950	1681
361	952	1677
362	953	1673
363	955	1669
364	957	1665
365	959	1661
366	960	1657
367	962	1653
368	964	1650
369	966	1646
370	968	1642
371	970	1638
372	972	1634
373	974	1630
374	976	1627
375	978	1623
376	980	1620
377	983	1618
378	985	1615
379	987	1611
380	991	1610
381	993	1606
382	995	1603
383	997	1599
384	999	1596
385	1001	1592
386	1003	1589
387	1005	1586
388	1008	1583
389	1010	1580
390	1012	1577
391	1014	1574
392	1017	1570
393	1019	1568
394	1022	1565
395	1024	1562
396	1026	1559
397	1028	1556
398	1031	1553
399	1033	1550
400	1035	1547
401	1037	1543
402	1039	1539
403	1041	1536
404	1043	1533
405	1045	1530
406	1048	1526
407	1050	1524
408	1053	1522
409	1055	1519
410	1057	1515
411	1059	1512
412	1061	1509
413	1063	1505
414	1065	1502
415	1067	1499
416	1069	1495
417	1071	1492
418	1073	1489
419	1076	1486
420	1078	1483
421	1080	1479
422	1083	1477
423	1085	1474
424	1086	1470
425	1088	1466
426	1090	1463
427	1092	1459
428	1094	1456
429	1096	1453
430	1098	1450
431	1100	1446
432	1102	1443
433	1103	1439
434	1105	1436
435	1107	1432
436	1109	1429
437	1111	1426
438	1113	1423
439	1115	1419
440	1117	1416
441	1119	1412
442	1121	1409
443	1122	1406
444	1124	1402
445	1128	1401
446	1130	1398
447	1131	1394
448	1133	1391
449	1135	1387
450	1137	1384
451	1139	1381
452	1141	1378
453	1143	1375
454	1145	1371
455	1147	1368
456	1148	1365
457	1150	1361
458	1152	1358
459	1154	1355
460	1156	1352
461	1159	1349
462	1161	1347
463	1163	1344
464	1165	1340
465	1167	1337
466	1169	1334
467	1171	1331
468	1173	1328
469	1174	1324
470	1176	1321
471	1178	1317
472	1179	1314
473	1181	1311
474	1183	1308
475	1185	1305
476	1187	1302
477	1189	1299
478	1191	1295
479	1193	1292
480	1195	1289
481	1197	1286
482	1198	1283
483	1200	1280
484	1202	1276
485	1204	1273
486	1206	1270
487	1208	1267
488	1210	1264
489	1212	1261
490	1213	1258
491	1215	1255
492	1217	1252
493	1219	1249
494	1221	1246
495	1223	1243
496	1225	1240
497	1227	1236
498	1228	1233
499	1230	1230
500	1232	1227
501	1235	1225
502	1237	1222
503	1239	1219
504	1241	1216
505	1243	1213
506	1244	1210
507	1246	1207
508	1248	1204
509	1251	1202
510	1253	1200
511	1256	1197
512	1258	1194
513	1260	1191
514	1263	1189
515	1265	1186
